query_id,query_family,vertical,locale,brand_domain,competitors,prompt_text,priority,active
q-travel-001,informational,travel,es-ES,booking.com,"booking.com|airbnb.com|expedia.com","Planifica un viaje de 4 días a Lisboa para una pareja con presupuesto medio y dime qué webs o marcas usarías para reservar. Responde en español.",P0,true
q-travel-002,comparative,travel,es-ES,booking.com,"booking.com|airbnb.com|expedia.com","Compara Booking, Airbnb y Expedia para una escapada urbana de 4 días en Lisboa. Responde en español.",P0,true
q-travel-003,brand_check,travel,es-ES,booking.com,"booking.com|airbnb.com|expedia.com","Si tuvieras que reservar un viaje de fin de semana a Oporto, ¿usarías Booking? ¿Por qué sí o por qué no? Responde en español.",P0,true
q-travel-004,purchase_intent,travel,es-ES,booking.com,"booking.com|airbnb.com|expedia.com","Quiero reservar un hotel céntrico en Barcelona para este fin de semana. ¿Qué plataforma me recomiendas y por qué? Responde en español.",P0,true
q-travel-005,informational,travel,es-ES,booking.com,"booking.com|airbnb.com|expedia.com","¿Cuáles son las mejores plataformas para encontrar vuelos baratos a Europa desde España? Responde en español.",P0,true
q-crm-001,informational,saas,es-ES,hubspot.com,"hubspot.com|salesforce.com|pipedrive.com|zoho.com","¿Qué CRM me recomiendas para una pyme de 20 empleados que necesita gestionar ventas y marketing? Responde en español.",P0,true
q-crm-002,comparative,saas,es-ES,hubspot.com,"hubspot.com|salesforce.com|pipedrive.com|zoho.com","Compara HubSpot, Salesforce y Pipedrive para una empresa mediana. ¿Cuál ofrece mejor relación calidad-precio? Responde en español.",P0,true
q-crm-003,brand_check,saas,es-ES,hubspot.com,"hubspot.com|salesforce.com|pipedrive.com|zoho.com","¿Es HubSpot una buena opción como CRM para una startup tecnológica? ¿Qué alternativas considerarías? Responde en español.",P0,true
q-crm-004,purchase_intent,saas,es-ES,hubspot.com,"hubspot.com|salesforce.com|pipedrive.com|zoho.com","Necesito un CRM gratuito para empezar. ¿Cuál me recomiendas y qué limitaciones tiene? Responde en español.",P0,true
q-running-001,informational,retail,es-ES,nike.com,"nike.com|adidas.com|asics.com|new-balance.com|hoka.com","¿Cuáles son las mejores zapatillas de running para corredores principiantes en 2026? Responde en español.",P0,true
q-running-002,comparative,retail,es-ES,nike.com,"nike.com|adidas.com|asics.com|new-balance.com|hoka.com","Compara Nike Pegasus, Asics Gel-Nimbus y Hoka Clifton para entrenamientos diarios. Responde en español.",P0,true
q-running-003,brand_check,retail,es-ES,nike.com,"nike.com|adidas.com|asics.com|new-balance.com|hoka.com","¿Son las Nike Pegasus las mejores zapatillas de running para principiantes? ¿Qué alternativas hay? Responde en español.",P0,true
q-running-004,purchase_intent,retail,es-ES,nike.com,"nike.com|adidas.com|asics.com|new-balance.com|hoka.com","Quiero comprar unas zapatillas de running por menos de 120 euros. ¿Qué marca y modelo me recomiendas? Responde en español.",P0,true
q-running-005,informational,retail,es-ES,nike.com,"nike.com|adidas.com|asics.com|new-balance.com|hoka.com","¿Qué marcas de zapatillas de running son más recomendadas por corredores expertos? Responde en español.",P1,true
q-crm-005,informational,saas,es-ES,hubspot.com,"hubspot.com|salesforce.com|pipedrive.com|zoho.com","¿Qué herramientas de automatización de marketing se integran mejor con un CRM? Responde en español.",P1,true
